,G1,G2,G3,G4,G5,D1,D2,D3,S1,S2,S3,A1,A2,A3
29,359323.092,690128.1344,108849754.6,45580254.42,1308731.1368,1845482.0,3852279.0,7033589.0,48.23598980645706,29.66682757790908,6.867205015284515,890186.5094,1142848.96875,483010.9765625
30,1703453.6406,17323161.094,10485397.412,21560416.76,2543142.724,995842.0,1794133.0,3906975.0,100.0,100.0,100.0,2012557.5,2083999.07421875,4825480.6328125
31,726898.7566,110015.19614,478768.0946,3697563.466,173213.83896,2234454.0,6683070.0,208586.0,16.566498215748375,9.502034486719735,100.0,370170.78204171825,635027.6161716207,4181260.9540866613
32,3306520.5560000013,4418333.603999998,140792.64614,56494948.68,1504216.73,204892.0,606576.0,537976.0,100.0,100.0,27.140334211005694,7146291.772190553,2419291.806074444,146008.484375
33,1304122.933,577390.0122,3655503.986,11009177.418,35462645.54,1677096.0,4287002.0,129654.0,100.0,100.0,100.0,5365413.5,29527637.081747405,2932390.4594525946
34,4652410.586,55178592.08,167353.25712,131167080.06,733481.454,2574791.0,6344636.0,10815324.0,81.96352544611163,55.4678079675105,53.01907596049151,2110389.476469192,3519230.5127175394,5734184.846933269
35,8527501.036,11328592.604,1178311.269,924268.0638,39320943.74,110932.0,1148290.0,165542.0,100.0,100.0,100.0,2500477.190504744,3013637.440174695,370128.26332056115
36,1667239.71,3939981.676,969270.2248,1583365.4532,16882637.53,2090572.0,4810530.0,7284142.0,100.0,56.942251929337125,100.0,3500846.370928762,2739224.1117363414,17135184.401334897
37,4247358.9580000015,2723845.706,728212.1322,311927.8098,109870809.08,51779.0,162198.0,286238.0,100.0,100.0,100.0,2422908.3285050923,648039.7243102696,1467128.329384638
38,2630719.8340000003,331651.9434,39414889.32,380657.391,14016855.44,3905711.0,7475017.0,13863527.0,75.92778259189214,52.59779156143638,100.0,2965519.7567476165,3931693.8608419346,14255327.47481045
39,5561.698568,4379648.204,147600.44126,20314906.78,452557.4724,3648391.0,6415303.0,93362.0,100.0,3.5235370991812593,100.0,4729112.065788273,226045.5812298883,5698828.169209838
40,2377114.656,3158344.254,9967216.078,229252.8392,856478.896,78778.0,366129.0,3174705.0,100.0,100.0,100.0,551434.6495072542,1459451.7238037065,12810864.446485916
41,1328007.9754,194119.88758,10716526.282,172835.73466,58765.7852,7670634.0,12929445.0,7979057.0,64.1573052980972,28.964980028093496,45.2415936067009,4921272.073679646,3745011.161993333,3609852.5415870207
42,1521870.2118,1554048.005,8323306.936000002,7817942.37,44992362.3,125927.0,2120470.0,510126.0,100.0,100.0,100.0,2233160.864375,5643266.53125,3285591.0
43,25181222.44,26545966.36,23987087.1,3762482.914,1587228.4402,92578.0,188391.0,6537700.0,100.0,100.0,37.57751579301589,1600702.75,1425294.0,2456705.25
44,36408522.28,55887566.72,3049524.994,300495.6112,47409.1641,585714.0,2017865.0,197455.0,39.01245424388012,100.0,100.0,228501.40625,5054634.4141,2026441.8671875
45,751452.9848,17460757.586,3021019.644,0.0,1958046.7692,2231326.0,5326516.0,9136000.0,100.0,30.242564374268184,5.090144433184887,20412233.772378534,1610875.0302056947,465035.59541577124
46,4415.055638,816129.9336,4728612.852,7550053.306,30037.06534,841053.0,2398339.0,220489.0,100.0,50.60755309572504,100.0,10439856.270819642,1213740.682840481,659521.3253178752
47,1962179.0094,3029934.958,10427170.496,920998.2506,533518.929,3111575.0,5876025.0,4716795.0,100.0,57.575935975497835,45.66678792373492,9198745.485648422,3383176.391904247,2154008.7694473327
48,2854118.338,4824740.2360000005,4856681.798,3693.68253,3715061.328,186352.0,335191.0,5476417.0,100.0,100.0,100.0,936837.3323540384,610630.0678766184,11849860.716799345
49,73074.5883,685699.8564,55629866.04,932379.5854,131922.98358,147963.0,2706844.0,1308407.0,16.704929655911453,1.6950838544642808,52.7941287006309,24717.11506677626,45883.275609535114,690762.0755080637
50,3561447.232,2071998.218,94541.021,2675447.992,31056373.14,191542.0,491490.0,2626496.0,100.0,100.0,100.0,1892725.1923449957,1465349.8571891678,3077681.7597783366
51,146582.51077999998,1369128.5894,2577325.998,306360.5646,10275830.936,2963765.0,6938736.0,1156581.0,94.9481577679964,10.968104094129608,100.0,2814040.2680726587,761047.787296845,1992979.7324104966
52,936064.6204,4494175.32,13056842.424,1361385.8922,2558677.374,1038036.0,1752736.0,15968613.0,100.0,100.0,70.68491032632353,1762353.0114324903,8405132.940059869,11287399.779407643
53,576827.2996,2149469.026,2329360.762,200030.37300000002,203240.4752,3392370.0,6574647.0,8389191.0,100.0,8.773509811249182,10.225053944045078,4024301.3309810255,576827.2996,857799.3052189746
54,529125.4748,3277328.372,895116.9314,35318260.38,40544351.22,1211913.0,4154263.0,230617.0,100.0,100.0,100.0,7697769.9314,28755129.53125,1117023.25
55,1672667.3522,18205988.844,2350106.342,810824.2804,24782326.32,189575.0,377159.0,6356423.0,100.0,100.0,100.0,968848.9352308752,1605796.75,9830820.595169125
56,18772166.128,27901234.2,48421177.9,147430.45995999998,223598.4284,3368056.0,6228593.0,15677968.0,86.36104508836021,89.03888258516471,100.0,2908688.3607612215,5545869.607977788,33137652.90997099
57,760209.6512,2607967.094,3258111.358,168843003.34,23449.30784,1325837.0,4816418.0,181399.0,100.0,15.783714187597504,100.0,1931511.75,760209.6512,588281.68284
58,932185.9044,749106.9652,5710165.624,7657565.802,99511.3611,1868475.0,5593184.0,125631.0,100.0,100.0,100.0,5710165.624,8631338.456990765,807031.5757092347
59,38445.14152,1223943.4966,161427742.2,81091323.1,92201.96912,3318282.0,7801318.0,5089649.0,100.0,21.228284265248785,20.342071437420913,4741097.14152,1656085.961476021,1035340.0354939791
60,12625.062884,118372.77902,1174240.592,214236.9928,18182.122268,1691053.0,5117994.0,14934010.0,60.187058505572296,9.802285196773669,0.0,1017795.0584702354,501680.36823376454,0.0
61,1441691.5272,4251618.563999998,8434658.724,74668133.84,3969418.49,2716754.0,5882752.0,12879894.0,100.0,100.0,100.0,5041303.996789701,8609962.779097969,19304532.27811233
62,220695.2338,308116.2964,5663610.32,1676674.1964,3268827.842,109097.0,277661.0,4046676.0,100.0,100.0,100.0,251580.81613146397,3741683.6060225805,7144659.466445955
63,2115175.004,652173.8704,2706466.234,1089832.8698,42167942.64,6380572.0,11574393.0,9093207.0,100.0,100.0,100.0,14088783.8969037,16055220.466732522,18587586.254563782
64,14386995.814000005,6943756.418,7336524.07,434499.8406,3347225.9439999987,38503.0,393857.0,529182.0,100.0,100.0,50.86103410546844,745838.52734375,1591392.125,269147.4375
65,339590.8698,18021219.468,13656596.952,3267933.9060000004,373033.8836,3083759.0,5402678.0,9513753.0,100.0,52.472241543915814,100.0,3573195.2526057856,2834906.25,24041840.543269213
66,0.0,11639.5281,377362.4414,75636742.62,27538756.32,3594871.0,6735294.0,4989708.0,0.6358701864183746,43.30723360510766,100.0,22858.712929200086,2916869.5065707997,27115916.5
67,3210618.64,681604.8829999999,14636936.404,37710.10214,148452.30782000002,50869.0,232482.0,2059966.0,100.0,100.0,100.0,1249824.5131124742,2462007.476124034,7665862.030098492
68,36849484.74,11758760.348,383221.4514,59171644.66,36699115.52,5108501.0,8536876.0,13606797.0,100.0,100.0,24.18138946586768,5153382.46875,18537011.25,3290312.5764
69,15796.884836,3568551.4960000007,153225.27254,682863.1334,1253908.664,2294020.0,5080093.0,8600567.0,100.0,13.952078870289357,29.958502963248662,2373168.8643447664,708778.5820440487,2576601.1195511864
70,11370.61611,4659201.048,8486060.314,620644.4644,22051463.64,2608326.0,4158942.0,11794896.0,100.0,100.0,35.091510132857465,6466788.462411309,18575701.24309869,4139007.125
71,240374.974,1068056.7892,3281360.0760000013,742597.3824,7117292.7420000015,1813047.0,2736446.0,8631461.0,100.0,20.469479789102646,100.0,2029654.325957872,560136.2609097078,9859891.376732424
72,10605439.43,25045468.64,754476.4862,508.6827072,86762.2536,1344646.0,3706299.0,114597.0,100.0,100.0,100.0,1357035.4546676164,16098891.588406194,2979042.1080771396
73,58184.85816,103798.9233,26723349.16,0.778785178,527666.368,2094927.0,5398010.0,1256535.0,73.06523206977565,100.0,46.62440799063918,1530663.2742423888,9940768.524057612,585852.004945178
74,204294.625,1064455.8868,68389569.14,35410096.4,1980045.896,67084.0,261044.0,619994.0,100.0,100.0,100.0,4408812.698093578,1190764.664413216,4211887.321168206
75,1962179.0094,4584868.4860000005,7971630.708,41213868.72,110879491.66,386938.0,555487.0,5828893.0,100.0,100.0,100.0,2043169.019860392,5589924.3520097975,22298136.34552981
76,3213711.438,6346439.372,8696329.447999999,10440737.446,185362086.32,5442392.0,9474864.0,6913425.0,10.954573145411063,96.82374706974008,69.89078571313266,596190.8125,9173918.354561858,4831847.052188142
77,8869110.644,2601819.552,5809285.42,118030.61428,77267.18852000003,1542820.0,4728201.0,228354.0,72.98099182466413,100.0,100.0,1125965.3380692832,7909765.89092298,390212.3428077359
78,2131267.566,1767934.6708,855015.4552,1544808.5272,286338.0478,714207.0,1362168.0,8156792.0,100.0,100.0,28.748194644327867,2689517.9073616676,1550915.918745368,2344930.440892964
79,3925318.0,2057518.744,591434.0260000001,18747807.164,5331151.664,379993.0,740246.0,4591189.0,100.0,100.0,100.0,2383347.9059502203,15371619.138854446,6228171.264195333
80,1737546.9668,2832123.992,17475787.19,22968788.54,31084454.24,239249.0,374708.0,3584029.0,100.0,100.0,100.0,2373580.0,1224655.71875,4262984.875
