,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,D1,D2,D3,D4,D5,D6,D7,D8,D9,S1,S2,S3,S4,S5,S6,S7,S8,S9,A1,A2,A3,A4,A5,A6,A7,A8,A9
663,5183885.072,5717300.628,108129580.44,24180034.5,76022.14896,5183885.072,5717300.628,108129580.44,24180034.5,76022.14896,5183885.072,5717300.628,108129580.44,24180034.5,76022.14896,133470.0,565727.0,256186.0,133470.0,565727.0,256186.0,133470.0,565727.0,256186.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2070577.3342697127,3879982.6534994366,2843667.31640625,1475062.29543198,1823418.6093141215,2173665.8414091934,2876445.344777862,2690082.3557320395,3123141.829828467
664,461.1043972,2968733.124,12777525.398,239121.7998,25766.30516,461.1043972,2968733.124,12777525.398,239121.7998,25766.30516,461.1043972,2968733.124,12777525.398,239121.7998,25766.30516,88808.0,209329.0,3694583.0,88808.0,209329.0,3694583.0,88808.0,209329.0,3694583.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2611285.5876178876,1381450.6054455,5269859.424496922,1441472.7646981182,1967420.259550675,13901396.021843724,1499447.3387747444,623597.3971488967,14211174.177745132
665,4093304.074,2139681.34,2184473.398,84945.44054,8037.41095,4093304.074,2139681.34,2184473.398,84945.44054,8037.41095,4093304.074,2139681.34,2184473.398,84945.44054,8037.41095,607026.0,990399.0,4357086.0,607026.0,990399.0,4357086.0,607026.0,990399.0,4357086.0,85.14398008834435,83.53839057939912,86.88096791979609,100.0,98.20197073911024,100.0,100.0,76.20089432498706,100.0,516846.09657107317,827363.3849144632,3785478.4898979263,2253040.1114932285,972591.3361804403,5980374.04941506,2217812.0541838338,754692.8953857287,8223126.572428245
666,556674.9474,408380.0166,1445061.1752,230395.0402,12513156.082,556674.9474,408380.0166,1445061.1752,230395.0402,12513156.082,556674.9474,408380.0166,1445061.1752,230395.0402,12513156.082,1695584.0,5071138.0,730083.0,1695584.0,5071138.0,730083.0,1695584.0,5071138.0,730083.0,100.0,100.0,21.923336410934557,39.30502972068521,100.0,53.87856767468895,100.0,100.0,34.34827115322112,1735852.0970307838,7823556.573087291,160058.55216904334,666449.7951391832,6187860.484394954,393358.2632363994,2996339.423969891,25246755.70668889,250770.88848357138
667,333698.1694,835421.8702,2325083.872,158099.46158,1285558.328,333698.1694,835421.8702,2325083.872,158099.46158,1285558.328,333698.1694,835421.8702,2325083.872,158099.46158,1285558.328,508633.0,853178.0,7057123.0,508633.0,853178.0,7057123.0,508633.0,853178.0,7057123.0,25.23349789324194,100.0,28.66849124215272,50.10850912446243,100.0,17.665526756633014,44.09431019275376,100.0,62.438449589250126,128345.89733933327,2298477.1307119806,2023170.6892029452,254868.41321502702,2254343.597972471,1246677.9518135025,224278.2127627092,1977065.0237156549,4406358.186806376
668,6133892.7760000015,18286164.472,5369643.586,31229138.8,778098.2162,6133892.7760000015,18286164.472,5369643.586,31229138.8,778098.2162,6133892.7760000015,18286164.472,5369643.586,31229138.8,778098.2162,134453.0,240788.0,8881248.0,134453.0,240788.0,8881248.0,134453.0,240788.0,8881248.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1592888.4870743002,2435983.1650971486,10980645.541902283,2515091.0420362875,4105889.7441378883,20779850.36992012,2423187.6402655747,4079022.1315230587,34300489.88858397
669,4468799.103999998,1597467.997,677839.4076,537534.0224,479638.0546,4468799.103999998,1597467.997,677839.4076,537534.0224,479638.0546,4468799.103999998,1597467.997,677839.4076,537534.0224,479638.0546,659736.0,2110545.0,136892.0,659736.0,2110545.0,136892.0,659736.0,2110545.0,136892.0,100.0,100.0,92.04420942781816,100.0,100.0,100.0,100.0,100.0,100.0,1772861.093628851,7757467.711179396,126001.15916992884,1834480.8625892133,5751474.514115773,443332.42326222284,2192448.0417505633,2765035.9216452627,640734.0294587832
670,180892.17654,391091.191,5372133.278,34656114.68,538608.1056,180892.17654,391091.191,5372133.278,34656114.68,538608.1056,180892.17654,391091.191,5372133.278,34656114.68,538608.1056,3197664.0,6539890.0,4825459.0,3197664.0,6539890.0,4825459.0,3197664.0,6539890.0,4825459.0,100.0,100.0,100.0,53.32731788590087,59.54201482169194,100.0,100.0,100.0,100.0,7113362.052754058,13433521.953040848,13624215.637050647,1705228.4462030132,3893982.2731223493,7040274.760647159,3521257.8366941228,18663559.24121367,25118412.951444134
671,172.58397106,2376753.192,1943155.539,1276461.8658,828420.6634,172.58397106,2376753.192,1943155.539,1276461.8658,828420.6634,172.58397106,2376753.192,1943155.539,1276461.8658,828420.6634,65835.0,362430.0,385645.0,65835.0,362430.0,385645.0,65835.0,362430.0,385645.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2218150.9980894197,1982592.2509578504,2151956.012959564,939111.5266379094,3585135.3810741887,2735207.0267881025,1243348.9405722087,1960373.9836820194,1635507.4782269166
672,5652655.147999999,173403.09772,5117304.25,489781.5034,82768.12434,5652655.147999999,173403.09772,5117304.25,489781.5034,82768.12434,5652655.147999999,173403.09772,5117304.25,489781.5034,82768.12434,771137.0,2048280.0,267225.0,771137.0,2048280.0,267225.0,771137.0,2048280.0,267225.0,100.0,100.0,100.0,100.0,100.0,100.0,72.10232412440176,100.0,100.0,1692185.09231586,13573204.80120245,442310.1309201834,1952327.963311473,2114236.633102264,533073.1296312887,556007.699183188,13206890.052986503,477500.8677267869
673,97262.27704,60563.03408,5773941.534,217083.3934,260776.7612,97262.27704,60563.03408,5773941.534,217083.3934,260776.7612,97262.27704,60563.03408,5773941.534,217083.3934,260776.7612,1826751.0,4289380.0,4072616.0,1826751.0,4289380.0,4072616.0,1826751.0,4289380.0,4072616.0,100.0,95.0876218218721,60.59226852708351,100.0,7.599770332288485,38.957226273441826,19.58982234860002,61.938232964982305,63.21007105305257,2581941.1397240036,4078669.432903018,2467690.4227969674,2599091.824565879,325983.0286791158,1586578.2303683956,357857.2756512743,2656766.177153358,2574303.4673179877
674,1515434.8732,1014480.0132,2419659.536,4024108.402,15416.660743999995,1515434.8732,1014480.0132,2419659.536,4024108.402,15416.660743999995,1515434.8732,1014480.0132,2419659.536,4024108.402,15416.660743999995,1553280.0,4323059.0,158327.0,1553280.0,4323059.0,158327.0,1553280.0,4323059.0,158327.0,100.0,77.80480266899947,100.0,100.0,100.0,70.1324289467024,100.0,92.78407591565379,100.0,3080933.203734377,3363547.5242144223,377124.97511237714,1806568.9477226813,9140913.125214472,111038.57077844553,4685002.027781712,4011110.3444385035,391059.7364350097
675,2525788.598,60782.38946000003,5252267.274,1154474.415,467309.6952,2525788.598,60782.38946000003,5252267.274,1154474.415,467309.6952,2525788.598,60782.38946000003,5252267.274,1154474.415,467309.6952,80204.0,230575.0,1474311.0,80204.0,230575.0,1474311.0,80204.0,230575.0,1474311.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,453541.8291054942,592503.0761698928,4502332.480134024,187977.18927919195,393426.94695009897,3222442.9473768715,276166.1456136294,917236.6965960641,11158283.562692238
676,1420557.4812,4065841.6,19448132.434,941902.8444,3994912.43,1420557.4812,4065841.6,19448132.434,941902.8444,3994912.43,1420557.4812,4065841.6,19448132.434,941902.8444,3994912.43,1610543.0,2865124.0,2924904.0,1610543.0,2865124.0,2924904.0,1610543.0,2865124.0,2924904.0,100.0,70.40456596261471,100.0,100.0,100.0,34.79902905988563,100.0,82.83281816511257,87.79049244066492,5493965.311996539,2017178.1164907054,10344739.69288512,6366848.551857721,3375452.5773648764,1017838.1929337573,3984897.493254576,2373262.953125,2567787.6250167056
677,7550.8344,1464604.025,9674054.358,52243.65992,74862.63202,7550.8344,1464604.025,9674054.358,52243.65992,74862.63202,7550.8344,1464604.025,9674054.358,52243.65992,74862.63202,74076.0,135896.0,1545538.0,74076.0,135896.0,1545538.0,74076.0,135896.0,1545538.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1158376.2095146824,3067947.9620619854,4657453.542420594,525388.8902495898,719574.2814534926,4336703.735937055,1860099.1436530466,1022320.3736963553,13471168.343533196
678,202329.8174,185936.69164,24891.167080000007,25384018.56,34068.371960000004,202329.8174,185936.69164,24891.167080000007,25384018.56,34068.371960000004,202329.8174,185936.69164,24891.167080000007,25384018.56,34068.371960000004,3864518.0,6449816.0,8104015.0,3864518.0,6449816.0,8104015.0,3864518.0,6449816.0,8104015.0,16.99118471752666,1.7217907501334213,100.0,68.15381404344276,100.0,100.0,98.58342766965241,100.0,81.75458558620416,656627.391822067,111052.33528862543,8428986.667027691,2633816.4113953733,22497676.915655047,22625750.264331702,3809774.307310698,10104645.652314965,6625403.879093823
