,hst,chnst,z
35910,1482890.0,2720661.0,9037792.0
35911,1843319.0,4188980.0,9184004.0
35912,2050243.0,5141947.0,9351744.0
35913,1873521.0,5466632.0,8376991.0
35914,1957565.0,5437502.0,5906543.0
35915,2066143.0,6306602.0,6891991.0
35916,2213629.0,6916816.0,9982490.0
35917,2278231.0,6440425.0,13276186.0
35918,2237261.0,5619258.0,14598594.0
35919,2633320.0,5907003.0,12851525.0
35920,2338105.0,5992508.0,6838473.0
35921,2031829.0,5782913.0,2916749.0
35922,2290245.0,6811247.0,1155171.0
35923,2427062.0,7204695.0,490698.0
35924,1534735.0,4810210.0,304624.0
35925,646429.0,2110053.0,227811.0
35926,181566.0,650498.0,306326.0
35927,63431.0,338096.0,628380.0
35928,46940.0,268330.0,1700344.0
35929,87411.0,225351.0,3721967.0
35930,233744.0,383603.0,5571589.0
35931,280456.0,450988.0,6552832.0
35932,385689.0,625439.0,4751197.0
35933,594181.0,980651.0,6217331.0
35934,1208996.0,2223164.0,8001671.0
35935,1556120.0,3678490.0,7785991.0
35936,1702460.0,4170311.0,7676172.0
35937,1797065.0,4583278.0,6464702.0
35938,1987229.0,4547847.0,4603242.0
35939,1919771.0,4646643.0,10522973.0
35940,2017918.0,4707704.0,11434594.0
35941,2172535.0,4666581.0,13540460.0
35942,2319667.0,4635490.0,14831311.0
35943,2052008.0,4530953.0,13121275.0
35944,1835877.0,4261848.0,7761997.0
35945,1778577.0,4670096.0,3668524.0
35946,2290317.0,5720723.0,1450712.0
35947,2243737.0,6385030.0,619586.0
35948,1467880.0,4961719.0,313691.0
35949,729059.0,2801341.0,232197.0
35950,199645.0,733275.0,260406.0
35951,67282.0,334309.0,491731.0
35952,53282.0,276072.0,1113093.0
35953,84265.0,332871.0,2361048.0
35954,263928.0,588932.0,4193636.0
35955,297479.0,551338.0,5568419.0
35956,370982.0,692003.0,5989275.0
35957,525050.0,1027973.0,7287966.0
35958,1023201.0,2113342.0,7484317.0
35959,1292658.0,3224921.0,7374268.0
35960,1389252.0,3652204.0,7202668.0
35961,1440303.0,3967526.0,6577221.0
35962,1636950.0,4055248.0,5792800.0
35963,1469813.0,3680458.0,6860715.0
35964,1388860.0,3654233.0,9234414.0
35965,1453806.0,3819506.0,13756935.0
35966,1492355.0,3470113.0,15629772.0
35967,1411795.0,3974238.0,14387308.0
35968,1339117.0,3813545.0,8542994.0
35969,1201136.0,3308272.0,3818779.0
35970,1423099.0,3998416.0,1526701.0
35971,1822451.0,5562206.0,558768.0
35972,1555983.0,4855029.0,252517.0
35973,660558.0,2261476.0,152250.0
35974,180596.0,837096.0,181757.0
35975,61873.0,433169.0,383932.0
35976,38192.0,278313.0,900910.0
35977,53802.0,205361.0,1958091.0
35978,105192.0,337070.0,3554956.0
35979,162194.0,339381.0,4850477.0
35980,256453.0,475692.0,5302849.0
35981,401811.0,688773.0,6192864.0
35982,713799.0,1390646.0,6933149.0
35983,962644.0,2321166.0,6787214.0
35984,1337545.0,3333942.0,6614429.0
35985,1362816.0,4015871.0,5941120.0
35986,1477759.0,3927393.0,5171007.0
35987,1518021.0,4627436.0,6415451.0
35988,1338214.0,4369206.0,9712641.0
35989,1467404.0,4566001.0,14139565.0
35990,1707910.0,4330809.0,19559136.0
35991,1693926.0,4656106.0,17491428.0
35992,1485891.0,3879156.0,10598131.0
35993,1560277.0,4426207.0,4860815.0
35994,1720145.0,4922528.0,1887897.0
35995,1695067.0,6636472.0,650661.0
35996,1462391.0,5345247.0,274014.0
35997,821781.0,2994876.0,175329.0
